dataset_family,comparison_id,label,baseline_folder,aug_folder,seed,baseline_value,aug_value,difference_aug_minus_baseline
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,2,0.9579288025889967,0.9320388349514563,-0.025889967637540368
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,3,0.9935275080906149,0.9514563106796117,-0.04207119741100318
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,5,0.9223300970873787,0.9935275080906149,0.07119741100323618
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,6,0.948220064724919,0.9385113268608414,-0.009708737864077666
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,7,0.9838187702265372,0.9805825242718447,-0.003236245954692518
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,10,0.9061488673139159,0.9320388349514563,0.02588996763754048
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,12,0.9838187702265372,0.9611650485436893,-0.02265372168284785
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,20,0.9838187702265372,0.9902912621359223,0.006472491909385147
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,33,0.9838187702265372,0.9514563106796117,-0.032362459546925515
cells,cells_flip_vs_limited_baseline,cells: flip vs limited baseline,subset_baseline_plot,subset_flip_plot,44,0.9223300970873787,0.9352750809061489,0.012944983818770184
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,2,0.9413773477518498,0.9413773477518498,0.0
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,3,0.9402390438247012,0.9379624359704041,-0.0022766078542971746
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,5,0.9430848036425725,0.935685828116107,-0.007398975526465512
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,6,0.9453614114968697,0.9396698918611269,-0.00569151963574277
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,7,0.9311326124075128,0.9396698918611269,0.008537279453614155
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,10,0.9385315879339784,0.9379624359704041,-0.0005691519635743214
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,12,0.9385315879339784,0.9373932840068299,-0.0011383039271485318
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,20,0.9464997154240182,0.9402390438247012,-0.00626067159931698
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,33,0.9368241320432555,0.9254410927717701,-0.011383039271485429
pneumonia,pneumonia_flip_vs_limited_baseline,pneumonia: flip vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_flip_plot,44,0.9436539556061468,0.9402390438247012,-0.0034149117814455954
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,2,0.9579288025889967,0.9546925566343042,-0.003236245954692518
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,3,0.9935275080906149,0.9514563106796117,-0.04207119741100318
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,5,0.9223300970873787,0.9935275080906149,0.07119741100323618
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,6,0.948220064724919,0.9579288025889967,0.009708737864077666
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,7,0.9838187702265372,0.9967637540453075,0.012944983818770295
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,10,0.9061488673139159,0.9385113268608414,0.032362459546925515
cells,cells_rotation_vs_limited_baseline,cells: rotation vs limited baseline,subset_baseline_plot,subset_rotation_plot,12,0.9838187702265372,0.9579288025889967,-0.02588996763754048
